

N: 3, Jcap: 2, Best: 2815.321471
N: 3, Jcap: 100, Best: 2815.321471
N: 5, Jcap: 2, Best: 2830.620889
N: 5, Jcap: 100, Best: 2818.997756
N: 7, Jcap: 2, Best: 2815.321471
N: 7, Jcap: 100, Best: 2808.472862
N: 8, Jcap: 2, Best: 2836.198002
N: 8, Jcap: 100, Best: 2966.786322
N: 11, Jcap: 2, Best: 2831.787533
N: 11, Jcap: 100, Best: 2925.900106
N: 13, Jcap: 2, Best: 2831.787533
N: 13, Jcap: 100, Best: 3009.487833
N: 15, Jcap: 2, Best: 2831.787533
N: 15, Jcap: 100, Best: 3015.033104
N: 17, Jcap: 2, Best: 2831.787533
N: 17, Jcap: 100, Best: 3015.033104
N: 19, Jcap: 2, Best: 2831.787533
N: 19, Jcap: 100, Best: 2996.745026
N: 21, Jcap: 2, Best: 2831.787533
N: 21, Jcap: 100, Best: 2996.745026
N: 23, Jcap: 2, Best: 2831.787533
N: 23, Jcap: 100, Best: 2996.745026
N: 25, Jcap: 2, Best: 2831.787533
N: 25, Jcap: 100, Best: 2996.745026
N: 27, Jcap: 2, Best: 2831.787533
N: 27, Jcap: 100, Best: 2975.170263
N: 29, Jcap: 2, Best: 2831.787533
N: 29, Jcap: 100, Best: 2975.170263
N: 31, Jcap: 2, Best: 2831.787533
N: 31, Jcap: 100, Best: 2953.863401
N: 33, Jcap: 2, Best: 2831.787533
N: 33, Jcap: 100, Best: 2953.863401
N: 35, Jcap: 2, Best: 2831.787533
N: 35, Jcap: 100, Best: 2953.863401
N: 37, Jcap: 2, Best: 2831.787533
N: 37, Jcap: 100, Best: 2932.936800
N: 39, Jcap: 2, Best: 2831.787533
N: 39, Jcap: 100, Best: 2932.936800
N: 41, Jcap: 2, Best: 2831.787533
N: 41, Jcap: 100, Best: 2932.936800
N: 43, Jcap: 2, Best: 2831.787533
N: 43, Jcap: 100, Best: 2918.410374
N: 45, Jcap: 2, Best: 2831.787533
N: 45, Jcap: 100, Best: 2914.299348
N: 47, Jcap: 2, Best: 2831.787533
N: 47, Jcap: 100, Best: 2918.410374
N: 49, Jcap: 2, Best: 2831.787533
N: 49, Jcap: 100, Best: 2914.299348
N: 51, Jcap: 2, Best: 2831.787533
N: 51, Jcap: 100, Best: 2914.299348
N: 53, Jcap: 2, Best: 2831.787533
N: 53, Jcap: 100, Best: 2930.625887
N: 55, Jcap: 2, Best: 2831.787533
N: 55, Jcap: 100, Best: 2930.625887
N: 57, Jcap: 2, Best: 2831.787533
N: 57, Jcap: 100, Best: 2930.625887
N: 59, Jcap: 2, Best: 2831.787533
N: 59, Jcap: 100, Best: 2930.625887
N: 61, Jcap: 2, Best: 2831.787533
N: 61, Jcap: 100, Best: 2929.282085
N: 15, Jcap: 25, Best: 90161.468757
N: 15, Jcap: 25, Best: 90161.468757
N: 15, Jcap: 20, Best: 90161.468757
N: 3, Jcap: 20, Best: 93549.268797
N: 5, Jcap: 20, Best: 72786.014946
N: 7, Jcap: 20, Best: 70791.894671
N: 9, Jcap: 20, Best: 67411.853558
N: 11, Jcap: 20, Best: 70012.530789
N: 13, Jcap: 20, Best: 73031.630092
N: 17, Jcap: 20, Best: 74075.291447
N: 19, Jcap: 20, Best: 77146.577030
N: 31, Jcap: 20, Best: 107948.312157
N: 7, Jcap: 20, Best: 70791.894671
N: 5, Jcap: 20, Best: 72786.014946
N: 9, Jcap: 20, Best: 67411.853558
N: 9, Jcap: 24, Best: 67770.331272
N: 9, Jcap: 15, Best: 64998.973836
N: 9, Jcap: 10, Best: 66205.535679
N: 9, Jcap: 5, Best: 55110.792331
N: 9, Jcap: 4, Best: 51401.742529
N: 9, Jcap: 3, Best: 90925.052055
N: 9, Jcap: 4, Best: 51401.742529
N: 9, Jcap: 4, Best: 51349.373273
N: 9, Jcap: 3, Best: 90925.052055
N: 9, Jcap: 2, Best: 117728.207316
N: 9, Jcap: 6, Best: 58541.383249
N: 9, Jcap: 4, Best: 51349.373273
N: 9, Jcap: 100, Best: 3295.984130
N: 15, Jcap: 10, Best: 2966.786322
N: 15, Jcap: 1000, Best: 2909.928101
N: 15, Jcap: 1000, Best: 780.006549
N: 8, Jcap: 1000, Best: 858.028253
N: 9, Jcap: 1000, Best: 916.014168
N: 15, Jcap: 1000, Best: 780.006549
N: 15, Jcap: 1000, Best: 739.640708
N: 15, Jcap: 1000, Best: 739.640708
